pr_number,pr_title,author,repository,merged_at,code_review_passed,status_checks_passed,is_compliant
159824,vesync switch to async_write_ha_state,cdnninja,home-assistant/core,2025-12-28T08:48:14.000000+0000,true,true,true
159803,Bump pypck to 0.9.9,alengwenus,home-assistant/core,2025-12-27T16:11:03.000000+0000,true,true,true
159787,Fix translations for lamarzocco bbw numbers,zweckj,home-assistant/core,2025-12-27T17:55:16.000000+0000,true,true,true
159780,Bump plugwise to v1.11.2,bouwew,home-assistant/core,2025-12-27T11:09:18.000000+0000,true,true,true
159779,Exceptions during Sonos Unjoin action results in hung script,PeteRager,home-assistant/core,2025-12-26T19:20:12.000000+0000,true,true,true
159776,kostal_plenticore: Add state_class to Battery SoC sensor,rauberdaniel,home-assistant/core,2025-12-26T19:31:47.000000+0000,true,true,true
159773,Assignment 2: Timer component impact analysis,AnvarKhudoiev,home-assistant/core,,false,false,false
159760,Fix HikCamera.get_event_triggers() call with incorrect argument,ptarjan,home-assistant/core,2025-12-26T10:33:53.000000+0000,true,true,true
159758,Add integration type hub to Xiaomi Home,tr4nt0r,home-assistant/core,2025-12-26T10:25:38.000000+0000,true,true,true
159757,Add integration type hub to Google Cast,tr4nt0r,home-assistant/core,2025-12-26T10:26:31.000000+0000,true,true,true
159824,vesync switch to async_write_ha_state,cdnninja,home-assistant/core,2025-12-28T08:48:14.000000+0000,true,true,true
159780,Bump plugwise to v1.11.2,bouwew,home-assistant/core,2025-12-27T11:09:18.000000+0000,true,true,true
159787,Fix translations for lamarzocco bbw numbers,zweckj,home-assistant/core,2025-12-27T17:55:16.000000+0000,true,true,true
159803,Bump pypck to 0.9.9,alengwenus,home-assistant/core,2025-12-27T16:11:03.000000+0000,true,true,true
159779,Exceptions during Sonos Unjoin action results in hung script,PeteRager,home-assistant/core,2025-12-26T19:20:12.000000+0000,true,true,true
159776,kostal_plenticore: Add state_class to Battery SoC sensor,rauberdaniel,home-assistant/core,2025-12-26T19:31:47.000000+0000,true,true,true
159773,Assignment 2: Timer component impact analysis,AnvarKhudoiev,home-assistant/core,,false,false,false
159760,Fix HikCamera.get_event_triggers() call with incorrect argument,ptarjan,home-assistant/core,2025-12-26T10:33:53.000000+0000,true,true,true
159758,Add integration type hub to Xiaomi Home,tr4nt0r,home-assistant/core,2025-12-26T10:25:38.000000+0000,true,true,true
159757,Add integration type hub to Google Cast,tr4nt0r,home-assistant/core,2025-12-26T10:26:31.000000+0000,true,true,true
159756,Add state_class to Nuki battery sensor,victor-gurbani,home-assistant/core,2025-12-26T09:37:16.000000+0000,true,true,true
159752,Address reviewer feedback on exception handling in hikvision,ptarjan,home-assistant/core,2025-12-27T10:13:53.000000+0000,true,true,true
159750,Support Shelly wave shutter with firmware 14.2.0 in Z-Wave,blob810,home-assistant/core,2025-12-27T10:12:02.000000+0000,true,true,true
159748,Update knx-frontend to 2025.12.25.200238,farmio,home-assistant/core,2025-12-27T11:12:17.000000+0000,true,true,true
159734,Bump tuya-device-sharing-sdk to 0.2.7,shihuimiao,home-assistant/core,2025-12-25T10:53:56.000000+0000,true,true,true
159728,Tidy up various Huawei LTE sensor values for display,scop,home-assistant/core,2025-12-25T12:15:06.000000+0000,true,true,true
159721,Update govee-local-api 2.3.0,Galorhallen,home-assistant/core,2025-12-24T20:47:29.000000+0000,true,true,true
159719,Start reauth when roborock notices the MQTT session is unauthorized,allenporter,home-assistant/core,2025-12-25T20:47:43.000000+0000,true,true,true
159713,Assignment 2 Wan Ahmad Lutfi: Impact Analysis - Automation Component Call Graph,PinkyP17,home-assistant/core,,false,false,false
159718,Fix Roborock repair issue behavior,allenporter,home-assistant/core,2025-12-24T19:00:36.000000+0000,true,true,true
159710,Add support for switchbot art frame,zerzhang,home-assistant/core,2025-12-25T12:50:47.000000+0000,true,true,true
159706,Add integration_type hub to nest,joostlek,home-assistant/core,2025-12-24T12:47:57.000000+0000,true,true,true
159705,Add integration_type hub to neato,joostlek,home-assistant/core,2025-12-25T12:51:19.000000+0000,true,true,true
159704,Add integration_type device to nanoleaf,joostlek,home-assistant/core,2025-12-25T12:51:48.000000+0000,true,true,true
159703,Add integration_type device to mystrom,joostlek,home-assistant/core,2025-12-25T12:52:33.000000+0000,true,true,true
159702,Add integration_type hub to mysensors,joostlek,home-assistant/core,2025-12-24T18:54:57.000000+0000,true,true,true
159701,Add integration_type service to mutesync,joostlek,home-assistant/core,2025-12-25T12:53:33.000000+0000,true,true,true
159700,Add integration_type service to mullvad,joostlek,home-assistant/core,2025-12-24T12:50:35.000000+0000,true,true,true
159699,Add integration_type device to mpd,joostlek,home-assistant/core,2025-12-25T12:53:21.000000+0000,true,true,true
159698,Add integration_type hub to motioneye,joostlek,home-assistant/core,2025-12-25T20:54:32.000000+0000,true,true,true
159697,Add integration_type service to monzo,joostlek,home-assistant/core,2025-12-25T20:52:54.000000+0000,true,true,true
